name	ext_reads	ext_files	internal_refs	files
WA_AI_CONFIG_AIRFORCE_uses_attackers	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_AIRFORCE_uses_fast_bombers	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_AIRFORCE_uses_heavy_fighters	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_AIRFORCE_uses_heavy_strategic	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_AIRFORCE_uses_interceptors	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_AIRFORCE_uses_multirole_fighters	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_AIRFORCE_uses_strike_bombers	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_DIVISIONS_can_motorize_support	29	8	0	common/on_actions/WA_AI_misc_on_actions.txt;common/scripted_effects/WA_AI_DIVISION_CREATOR_effects.txt;common/scripted_effects/WA_AI_TEMPLATES_effects.txt;common/scripted_effects/WA_TEST_templates.txt;common/scripted_effects/WA_reserves_effects.txt;common/scripted_localisation/WA_AI_DIVISION_CREATOR_scripted_loc.txt;common/scripted_triggers/WA_AI_RESEARCH_tanks.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_DIVISIONS_focus_on_heavy_armor	5	2	0	common/scripted_triggers/WA_AI_PRODUCTION_tanks.txt;common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_focus_on_light_armor	1	1	0	common/scripted_triggers/WA_AI_PRODUCTION_tanks.txt
WA_AI_CONFIG_DIVISIONS_focus_on_medium_armor	4	2	0	common/scripted_triggers/WA_AI_PRODUCTION_tanks.txt;common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_force_mountainneers_instead_of_marines	1	1	0	common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_DIVISIONS_has_access_to_oil	0	0	0	
WA_AI_CONFIG_DIVISIONS_is_expected_marshes_or_mountains	16	4	0	common/scripted_effects/WA_AI_TEMPLATES_effects.txt;common/scripted_effects/WA_TEST_templates.txt;common/scripted_triggers/WA_AI_RESEARCH_army.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_DIVISIONS_is_expeditionary_mechanized_major	3	2	0	common/scripted_triggers/WA_AI_PRODUCTION_army_composition.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_DIVISIONS_mechanization_window_open	3	2	1	common/scripted_effects/WA_AI_TEMPLATES_effects.txt;common/scripted_effects/WA_TEST_armor_budget.txt
WA_AI_CONFIG_DIVISIONS_use_anti_air_brigades	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_army.txt
WA_AI_CONFIG_DIVISIONS_use_anti_tank_brigades	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_army.txt
WA_AI_CONFIG_DIVISIONS_use_armored_cars	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_armored_divisions	3	3	1	common/scripted_effects/AST_scripted_effects.txt;common/scripted_triggers/WA_AI_RESEARCH_support.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_DIVISIONS_use_default_templates	2	2	0	common/scripted_effects/WA_AI_TEMPLATES_effects.txt;common/scripted_effects/WA_TEST_templates.txt
WA_AI_CONFIG_DIVISIONS_use_heavy_artillery	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_army.txt
WA_AI_CONFIG_DIVISIONS_use_heavy_assault_tanks	0	0	0	
WA_AI_CONFIG_DIVISIONS_use_heavy_at	27	2	0	common/scripted_effects/WA_AI_DIVISION_CREATOR_effects.txt;common/scripted_localisation/WA_AI_DIVISION_CREATOR_scripted_loc.txt
WA_AI_CONFIG_DIVISIONS_use_heavy_infantry_support_tanks	0	0	0	
WA_AI_CONFIG_DIVISIONS_use_heavy_self_propelled_gun	5	2	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_DIVISIONS_use_heavy_tank_destroyers	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_light_assault_tanks	0	0	0	
WA_AI_CONFIG_DIVISIONS_use_light_infantry_support_tanks	0	0	0	
WA_AI_CONFIG_DIVISIONS_use_light_self_propelled_aa	2	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_light_self_propelled_gun	4	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_light_tank_destroyers	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_line_support	2	1	0	common/scripted_effects/WA_AI_TEMPLATES_effects.txt
WA_AI_CONFIG_DIVISIONS_use_mechanized_divisions	6	4	2	common/scripted_effects/WA_TEST_armor_budget.txt;common/scripted_triggers/WA_AI_RESEARCH_support.txt;common/scripted_triggers/WA_AI_RESEARCH_tanks.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_DIVISIONS_use_mechanized_self_propelled_aa	2	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_mechanized_self_propelled_gun	2	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_mechanized_tank_destroyers	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_medium_assault_tanks	0	0	0	
WA_AI_CONFIG_DIVISIONS_use_medium_infantry_support_tanks	0	0	0	
WA_AI_CONFIG_DIVISIONS_use_medium_self_propelled_aa	8	3	0	common/scripted_effects/WA_AI_DIVISION_CREATOR_effects.txt;common/scripted_localisation/WA_AI_DIVISION_CREATOR_scripted_loc.txt;common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_medium_self_propelled_gun	16	3	0	common/scripted_effects/WA_AI_DIVISION_CREATOR_effects.txt;common/scripted_localisation/WA_AI_DIVISION_CREATOR_scripted_loc.txt;common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_medium_tank_destroyers	17	3	0	common/scripted_effects/WA_AI_DIVISION_CREATOR_effects.txt;common/scripted_localisation/WA_AI_DIVISION_CREATOR_scripted_loc.txt;common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_modern_assault_tanks	0	0	0	
WA_AI_CONFIG_DIVISIONS_use_modern_infantry_support_tanks	0	0	0	
WA_AI_CONFIG_DIVISIONS_use_modern_self_propelled_aa	2	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_modern_self_propelled_gun	4	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_modern_tank_destroyers	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_DIVISIONS_use_motorized_divisions	2	1	1	common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_DIVISIONS_use_rocket_artillery	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_army.txt
WA_AI_CONFIG_DIVISIONS_uses_motorized_hq	8	1	2	history/general/taog_hq_template.txt
WA_AI_CONFIG_MILITARY_is_allied_minor_invasion_suppressed	1	1	0	common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_INVASION.txt
WA_AI_CONFIG_MILITARY_is_allied_naval_corridor_user	22	1	0	common/ai_strategy/WA_AI_NAVAL_FACTION_ALLIES.txt
WA_AI_CONFIG_MILITARY_is_anglo_major	30	8	0	common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_FRONT.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_INVASION.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_THEATRE.txt;common/ai_strategy/WA_AI_NAVAL_COUNTRY_ENG.txt;common/ai_strategy/WA_AI_NAVAL_COUNTRY_USA.txt;common/ai_strategy/WA_AI_NAVAL_FACTION_ALLIES.txt;common/scripted_effects/WA_AI_misc_effects.txt
WA_AI_CONFIG_MILITARY_is_axis_continental_core	1	1	1	common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_FRONT.txt
WA_AI_CONFIG_MILITARY_is_axis_eastern_force	5	1	1	common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_FRONT.txt
WA_AI_CONFIG_MILITARY_is_axis_eastern_force_extended	2	1	0	common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_FRONT.txt
WA_AI_CONFIG_MILITARY_is_axis_european_major	1	1	0	common/scripted_triggers/WA_AI_PRODUCTION_army_composition.txt
WA_AI_CONFIG_MILITARY_is_axis_minor	7	3	0	common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_FRONT.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_is_axis_minor_east	3	3	0	common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_INVASION.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_THEATRE.txt
WA_AI_CONFIG_MILITARY_is_axis_non_german_member	1	1	0	common/ai_strategy/WA_AI_NAVAL_FACTION_AXIS.txt
WA_AI_CONFIG_MILITARY_is_british_mission_owner	7	2	0	common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_FRONT.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt
